ENSG,ENSG00000198938.2,ENSG00000198712.1,ENSG00000198886.2,ENSG00000198804.2,ENSG00000198840.2,ENSG00000198899.2,ENSG00000198727.2,ENSG00000210082.2,ENSG00000142515.13,ENSG00000263639.4
TCGA-KK-A6E5-01A,10255.4648985,10460.6861079,6588.16371486,8772.56634107,6858.07178538,4298.04847919,6264.34420175,4505.01514591,6491.54224726,10439.9423953
TCGA-HC-8260-01A,8983.45222739,9129.83883812,6766.82214776,6177.63497421,5683.24722525,6843.99892718,4661.65520483,3223.2111769000007,5626.40704983,18552.5825276
TCGA-YL-A9WL-01A,8277.46728514,7348.93665649,6068.98096354,2560.16295448,4444.74882967,4482.86195804,3191.44068788,3069.94348878,3165.01814989,1107.03357563
TCGA-XJ-A83G-01A,8753.46933418,9476.80383125,8991.132839,5348.84955148,6974.34055922,7542.08497788,7094.72662505,4830.19507875,9531.34495665,1637.02651049
TCGA-KK-A6E6-01A,8212.62884098,6746.88459196,5608.00710597,9470.86375345,4274.44076681,4649.06655972,4831.42645282,3250.52161181,3953.68603871,3072.23982009
TCGA-J4-8200-01A,6881.78900087,6535.97608548,5983.49182843,3844.70229359,4507.41765074,3431.35108566,3521.72174678,3957.73151524,5411.537136999998,7590.26071916
TCGA-HC-7817-01B,6812.75958314,5967.56852497,4830.70421143,3529.9246774000007,4414.02642533,3744.71710373,3306.00026243,2502.07966389,1565.87340334,1756.32179497
TCGA-V1-A9O9-01A,7408.49399096,6577.37635447,5103.17528494,2109.37322517,4608.18860633,5220.51590837,4247.63507118,3718.17912199,1544.53941556,950.240090239
TCGA-KK-A8I9-01A,6876.29071297,7469.878367899999,5215.16420408,2530.04112655,4414.12518963,4702.68129737,4520.83721435,4342.72027183,2306.80251909,2567.86715709
TCGA-EJ-5505-01A,4177.83202361,4303.10846738,3989.77881426,4754.42862651,4185.11820696,3074.30007747,2803.95920485,2492.61029382,5491.18075415,7055.61260886
TCGA-VP-A875-01A,8805.45770707,6325.95940534,5163.41726694,6895.42680163,3979.5411023,3825.68729176,5506.69992323,2698.04657196,5638.75800406,130.796409931
TCGA-HC-8266-01A,7732.12794012,6093.40414801,5731.20109964,6505.12765966,4850.63665757,4901.18612218,4593.13548863,5245.68497163,2969.18172329,7323.68730494
TCGA-KK-A8IL-01A,8952.70349671,9071.43610744,7959.64460663,6293.58520328,6063.34480318,5120.34861925,5745.84116919,3230.86325203,1390.75037988,1521.15754256
TCGA-YL-A8SC-01A,4702.02460604,4954.84262641,3743.85168311,4098.66725948,1611.74093573,3433.17136382,3249.79519368,2192.88297723,4506.79669204,694.6115199330002
TCGA-EJ-7791-01A,3655.5740736,3778.05547964,3133.82910438,4588.25939385,2491.66890687,2650.12164283,2326.1545308000004,2089.24737812,4615.93652947,4318.51912977
TCGA-HC-A76W-01A,10091.4130186,10871.370335,11320.7810689,13108.0605492,7186.684041600001,8432.75171266,9704.20537679,6816.17381621,2248.68983577,1039.99597627
TCGA-V1-A9O5-06A,3573.49943552,4096.166927400001,3262.98076698,4068.86047764,1804.88440403,2182.15788565,1929.09710101,1673.43339698,2425.88689034,10.9511046071
TCGA-J4-A67R-01A,9913.90174561,9056.20078388,2974.6715212,4641.7130663,5388.9328243,3368.67672279,1994.24467031,4178.64467013,4828.82567882,23030.9861588
TCGA-G9-6361-01A,12364.9657815,9842.83919373,9478.14933905,5323.86218151,3407.22555637,7397.99757005,4390.98343661,7939.71125163,4221.02876757,2813.92907355
TCGA-ZG-A9NI-01A,17134.3524415,15747.2419664,12286.7043179,11673.5305479,10782.3971446,9747.30137124,9401.95368968,5391.62674991,3566.54592113,83.8701987888
TCGA-FC-A5OB-01A,3898.94104037,4507.94603971,3474.83519837,1396.26360483,1918.1547428,2387.46239168,1929.46449977,1337.27173951,6418.33418526,1052.03291011
TCGA-G9-7525-01A,12844.7336817,12103.2414033,11433.4896432,10046.8116616,10112.638953,11318.3042084,6181.06453684,8336.42881275,4064.9908503,663.725119136
TCGA-EJ-7330-11A,6342.73886833,5378.09381429,6621.09246089,6474.81116036,3273.70543979,4706.90473388,3960.48270812,3889.61137334,1531.03670355,3594.07726919
