TCGA_barcode_TPM,ENSG00000198712,ENSG00000198938,ENSG00000198804,ENSG00000198899,ENSG00000198886,ENSG00000228253,ENSG00000198763,ENSG00000210082,ENSG00000263900,ENSG00000198840
TCGA-DM-A1DB-01A-11R-A155-07,21706.41797,17296.17773,11348.38672,16287.93457,16379.32227,11431.2832,11456.54102,3178.187744,4189.082031,7948.489746
TCGA-AZ-4315-01A-01R-1410-07,11713.87402,5770.549805,7145.862305,4414.324707,3212.138672,1040.286743,1728.068604,3491.534668,10479.47656,5705.837402
TCGA-CK-6747-01A-11R-1839-07,15684.0293,13558.86231,14010.07422,13673.34961,10475.60449,11025.12305,6090.476562,3521.509521,5929.007324,5252.440918
TCGA-CM-4750-01A-01R-1410-07,15977.9209,5914.187012,6783.625,10885.92188,7362.07373,2687.563477,4653.126465,2211.786377,9983.617188,5560.651855
TCGA-A6-4105-01A-02R-1774-07,10495.95801,11024.88086,10927.28809,12162.93066,10238.09277,10633.04883,7006.239258,4844.288086,5008.446289,4120.930664
TCGA-DM-A1D8-01A-11R-A155-07,49987.27344,26625.15234,24383.19336,31844.93555,24225.45117,19303.35352,16021.00098,13973.03418,3534.313721,15074.10938
TCGA-AZ-4313-01A-01R-1410-07,6312.550293,4610.709473,6010.230469,4219.337891,2732.591553,2790.485352,1541.65979,2171.089355,4991.504395,3028.068115
TCGA-A6-6780-01B-04R-A277-07,23227.50781,28776.2832,29391.44336,29314.56055,32745.39063,18259.29492,11444.61035,11748.1582,474.284515,9094.833008
TCGA-AA-3561-01A-01R-0821-07,13865.9834,9857.288086,9536.322266,7867.14502,5756.492676,4950.258301,2563.731445,5919.493652,3931.218262,3949.227783
TCGA-DM-A1D6-01A-21R-A155-07,38304.37109,25023.80078,6434.73291,27916.38672,14729.13086,23460.92188,15678.16504,4958.007324,5516.031738,5910.479004
