TCGA_barcode_TPM,ENSG00000163631,ENSG00000158874,ENSG00000198804,ENSG00000198938,ENSG00000198712,ENSG00000198899,ENSG00000087086,ENSG00000198886,ENSG00000197249,ENSG00000228253
TCGA-DD-A4NR-01A-11R-A311-07,31032.72266,23293.25586,20353.02539,11920.61816,12164.87695,10977.86719,33843.33984,14096.26856,18645.08789,8670.245117
TCGA-DD-AAEB-01A-11R-A41C-07,50593.73438,54453.6875,35165.44531,36227.85547,38980.5,30628.48242,8230.170898,15278.16797,4849.703125,4258.51416
TCGA-BC-A69I-01A-11R-A311-07,49047.66406,22348.56836,13943.80957,12548.74414,12344.95606,11785.05957,14464.98828,9984.277344,24223.88867,5005.833496
TCGA-DD-AACH-01A-11R-A41C-07,58482.41016,382.469849,16702.17383,8989.283203,13559.68848,8763.734375,21163.51172,7470.422852,8717.563477,6440.305664
TCGA-DD-AACA-01A-11R-A41C-07,23045.73633,18505.90039,21854.75977,21742.90039,26068.6582,17853.51172,15764.1709,20798,5617.928223,15288.66113
TCGA-G3-AAV7-01A-11R-A38B-07,17958.0293,13885.44922,12193.06055,9789.671875,10913.03516,9941.545898,30869.23438,8756.69043,3540.395752,7949.578613
TCGA-UB-A7ME-01A-11R-A33J-07,69921.71875,27620.63477,11891.45703,9842.635742,8153.360352,9908.972656,10474.50488,6533.677734,19994.55469,5409.353027
TCGA-XR-A8TD-01A-12R-A39D-07,36494.55469,20080.25977,18592.80664,26500.11914,30182.03906,26174.88867,19947.5625,19102.86328,5633.278809,20156.8125
TCGA-BC-A110-01A-11R-A131-07,72699.46094,12252.05469,21271.21094,23338.5625,15050.97266,15841.00586,6116.646973,13141.42188,21729.51563,9470.669922
TCGA-CC-5259-01A-31R-A213-07,77218.39063,85729.39844,13847.87891,10526.6543,14398.95313,12111.3916,29723.33008,6710.495117,7768.095703,1749.428345
TCGA-DD-A73E-01A-12R-A32O-07,47986.125,2828.94043,20143.00586,17104.07813,16040.14551,11510.23535,14352.50977,9885.841797,7521.827637,7021.478027
TCGA-DD-AACJ-01A-11R-A41C-07,42298.44922,46144.84766,11557.10938,16233.14063,25797.2832,13869.70996,30816.98828,14855.9375,14203.19043,5455.483887
TCGA-BC-A10X-01A-11R-A131-07,77033.30469,13233.21875,22558.44531,20206.51172,16352.92578,21722.37109,6138.343262,18802.73047,17570.70508,15282.12305
TCGA-DD-A3A9-01A-11R-A266-07,34806.28125,38156.26563,16040.53223,12369.08594,9991.304688,7407.852539,24182.04883,6761.525391,17779.44727,1983.263062
TCGA-ZS-A9CD-01A-11R-A37K-07,15400.04004,28750.90039,21883.56836,20440.54688,13764.38184,14276.33203,23202.13477,11960.44824,16499.27148,9237.130859
TCGA-ES-A2HS-01A-11R-A180-07,526.041809,64620.07813,3719.570312,5542.659668,7527.107422,7176.632324,30079.16797,3278.155273,28711.66406,978.860291
