ENSG,ENSG00000198804.2,ENSG00000198938.2,ENSG00000198886.2,ENSG00000198712.1,ENSG00000210082.2,ENSG00000198727.2,ENSG00000198899.2,ENSG00000198763.3,ENSG00000198888.2,ENSG00000212907.2
TCGA-HU-A4H8-01A,28721.2953708,15584.0083439,17624.3002341,15534.607867700002,5246.33690834,13168.4143794,10580.6394645,8586.90450608,6829.54410776,8935.42390551
TCGA-BR-7715-11A,14779.9730484,15466.6743278,9999.07595609,14314.6397681,11523.3257893,8385.17321519,9192.26858213,5686.66518987,6713.12671921,4124.35606851
TCGA-BR-7707-01A,7137.33472773,7635.50669944,7549.94442442,7351.73720379,2614.12190152,3939.93178878,5321.2150018,3321.29733373,2041.21057918,2795.3634325
TCGA-HU-8244-01A,35788.4205565,21235.7540104,20528.622980900003,22502.37964,13018.3453994,13579.9757373,9394.77230335,11019.9635179,10552.5039128,7737.69470843
TCGA-CG-5716-01A,17574.1076701,10658.9917484,9340.72442456,9140.32710083,12520.4154091,5666.50105314,7400.95789951,4991.80523236,4908.71960371,4210.85286713
TCGA-D7-A6F2-01A,29505.6647059,16765.862947,15828.8553555,9420.52694132,19421.943903,14976.2840349,6621.72816114,13117.2633765,17386.929183700002,5645.39330793
TCGA-BR-8590-01A,14934.9081342,8731.70040077,10312.439559,7489.90528881,5077.09927835,4789.01912359,5148.5498919,6223.32743958,5334.41974717,3240.53127825
TCGA-HF-7134-01A,6260.95241104,4957.86135309,5371.61836488,7227.18045779,1962.59264699,2789.14702146,2592.57972405,2087.67372086,1683.18670581,2611.32597978
TCGA-MX-A5UJ-01A,25238.2783164,16778.0340033,15528.518633000003,12703.748359,6915.92150628,10769.737824299998,7831.65981731,7367.08904115,7683.66776614,4627.702513
TCGA-HU-A4GF-01A,17107.436432799994,13710.619912,10621.4760874,11464.4605523,9034.45906149,7018.01015325,6182.81929176,6133.64483171,7528.945961399999,4692.79172456
TCGA-HU-A4G3-01A,35517.6345273,31233.8522585,23021.359971,27654.4886946,19010.3241193,20255.813745,16705.4405379,14731.7302153,13471.505531400002,11294.0240761
TCGA-HU-A4H4-01A,21586.1466001,17979.775016599997,11286.9721789,19407.7772231,19466.6395027,9455.55510469,8301.85243857,7369.27110671,5421.22784933,4601.96380851
TCGA-CG-4301-01A,13294.0740636,6897.28789416,14171.2205552,11816.9248808,5952.27444303,6826.00381271,6646.27968154,5638.56483289,7192.98428589,7326.72956868
TCGA-VQ-A94T-01A,7168.36894246,5140.48940224,14113.7802965,7545.42921044,1161.44503433,8529.72522091,6141.68231696,4695.32580162,1389.81071052,3851.63877115
TCGA-VQ-AA69-01A,4215.97873266,4848.606345,4101.74914779,2694.91130416,2756.86278443,1237.9312381,2370.59040426,1272.96179707,1354.09927571,1357.04146172
TCGA-BR-8364-01A,12043.868033399998,9481.7357695,8344.13084933,7418.40272529,7216.27505809,6679.06820643,4345.80992602,4228.09491717,4067.08839757,4100.78946864
TCGA-BR-7715-01A,18582.6314244,19462.2820265,14974.1770023,21030.5672241,17524.1396841,7286.26180687,7838.92663256,8582.45431262,6502.45141455,8497.26606338
TCGA-IN-7808-01A,21756.7977933,14555.477129,18377.5178023,14291.2921872,13450.2109824,10886.070702399997,10950.154915,11701.0353143,11933.7531266,9629.15584611
TCGA-BR-8677-01A,14855.8049718,12780.4172253,9263.56812107,8916.89039457,9628.61079848,7814.71708659,6954.458836,6145.03796513,6997.09416152,2148.1672517
TCGA-BR-8690-01A,37109.8628678,30610.6477581,20273.5618667,28978.4024557,20972.1022752,19279.041042400004,16198.6563627,14217.5965459,14148.6118468,4053.4992308
TCGA-RD-A8N4-01A,27181.0903268,18402.8149515,18544.4843975,10826.6260172,12796.4561197,15522.8523615,7588.9386932,8389.04583973,8065.59703055,4640.41494681
TCGA-BR-4370-01A,17033.571023700002,7238.77885525,14112.515945299998,14175.778333000002,4272.93630744,7004.7105841,6134.36509806,6426.02728774,6321.13586441,6276.8137468
TCGA-FP-7735-11A,13091.2128054,10111.980083700002,10166.0718536,8662.98916966,9779.02654422,9387.15406451,3878.21532759,6551.57706128,5476.36846401,4267.66693359
TCGA-KB-A93J-01A,5914.47277681,8690.23904337,13143.216456,9532.75978304,5627.59876204,5083.33587343,6756.15103361,6649.87432716,6199.69294104,3523.45676554
TCGA-VQ-A8P2-01A,10567.8423135,15330.4897256,18237.8446723,13797.315471899998,8538.97951054,8950.13316335,9479.20946312,8513.28158159,7035.61520614,6927.21761803
TCGA-VQ-A91Y-01A,19609.0304249,10499.129552200002,11006.0258908,8017.72009502,5597.44944794,7764.21757801,6284.31022072,5089.73233658,5707.18536269,4196.88350948
TCGA-VQ-A91K-01A,15558.5300305,12512.180901,8351.92685533,6910.8606934,2306.14568859,4855.20643186,6093.65055164,3811.90371244,3485.77391505,2568.62970899
TCGA-BR-4367-01A,11124.592700799998,9505.34204505,10132.5639396,14978.7893957,11701.4574609,5826.40601859,4255.89812029,6887.70412433,5230.77850506,4719.446783500001
